,Mean Accuracy,Std of Accuracy,Parameters,Algorithm,NaNs Handled
0,0.8409068418418771,0.1743484339757357,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [50], 'Batch Size': [32], 'Learning Rate': [0.001], 'Momentum': [0.99]}",Small Ascending MLP,Ignored
1,0.8826258660670863,0.14438822784420893,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [50], 'Batch Size': [64], 'Learning Rate': [0.001], 'Momentum': [0.99]}",Small Ascending MLP,Ignored
2,0.5399057282011883,0.13104694960812185,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [50], 'Batch Size': [32], 'Learning Rate': [0.01], 'Momentum': [0.99]}",Small Ascending MLP,Ignored
3,0.7683240060052017,0.20512076442711175,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [50], 'Batch Size': [64], 'Learning Rate': [0.01], 'Momentum': [0.99]}",Small Ascending MLP,Ignored
4,0.49388604213508885,0.013213456629761136,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [50], 'Batch Size': [32], 'Learning Rate': [0.1], 'Momentum': [0.99]}",Small Ascending MLP,Ignored
5,0.5127082966231313,0.03163923252894606,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [50], 'Batch Size': [64], 'Learning Rate': [0.1], 'Momentum': [0.99]}",Small Ascending MLP,Ignored
6,0.8284654313243162,0.18460869380066117,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [50], 'Batch Size': [32], 'Learning Rate': [0.001], 'Momentum': [0.8]}",Small Ascending MLP,Ignored
7,0.9143400974083185,0.011359180409296787,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [50], 'Batch Size': [64], 'Learning Rate': [0.001], 'Momentum': [0.8]}",Small Ascending MLP,Ignored
8,0.9304278353785321,0.00998799642574219,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [50], 'Batch Size': [32], 'Learning Rate': [0.01], 'Momentum': [0.8]}",Small Ascending MLP,Ignored
9,0.8401947109115643,0.18392715971171922,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [50], 'Batch Size': [64], 'Learning Rate': [0.01], 'Momentum': [0.8]}",Small Ascending MLP,Ignored
10,0.7149203535456768,0.22766906688598196,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [50], 'Batch Size': [32], 'Learning Rate': [0.1], 'Momentum': [0.8]}",Small Ascending MLP,Ignored
11,0.7542935429985128,0.22428021397579068,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [50], 'Batch Size': [64], 'Learning Rate': [0.1], 'Momentum': [0.8]}",Small Ascending MLP,Ignored
12,0.8839918380005216,0.1338538599369598,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [100], 'Batch Size': [32], 'Learning Rate': [0.001], 'Momentum': [0.99]}",Small Ascending MLP,Ignored
13,0.8398369714611953,0.1815059263827442,"{'Neurons': [5, 2, 4, 6, 8, 10, 1], 'Epochs': [100], 'Batch Size': [64], 'Learning Rate': [0.001], 'Momentum': [0.99]}",Small Ascending MLP,Ignored
