,Mean Accuracy,Std of Accuracy,Parameters,Algorithm,NaNs Handled
0,0.9214050550829239,0.005371937538592071,"{'kernel': ['linear'], 'degree': [1], 'gamma': ['scale'], 'C': [5]}",Linear Kernel SVM,Ignored
1,0.9212863959627001,0.005578236937345092,"{'kernel': ['linear'], 'degree': [1], 'gamma': ['scale'], 'C': [4]}",Linear Kernel SVM,Ignored
2,0.9212862549955243,0.005807311416593323,"{'kernel': ['linear'], 'degree': [1], 'gamma': ['scale'], 'C': [8]}",Linear Kernel SVM,Ignored
3,0.9184962326522269,0.005973559475256264,"{'kernel': ['linear'], 'degree': [1], 'gamma': ['scale'], 'C': [1]}",Linear Kernel SVM,Ignored
4,0.9214644727475207,0.00612613836354249,"{'kernel': ['linear'], 'degree': [1], 'gamma': ['scale'], 'C': [3]}",Linear Kernel SVM,Ignored
5,0.92140501984113,0.005893636767108334,"{'kernel': ['linear'], 'degree': [1], 'gamma': ['scale'], 'C': [9]}",Linear Kernel SVM,Ignored
6,0.9211083544196734,0.006172518255418943,"{'kernel': ['linear'], 'degree': [1], 'gamma': ['scale'], 'C': [2]}",Linear Kernel SVM,Ignored
7,0.9218204853499863,0.005813320224056106,"{'kernel': ['linear'], 'degree': [1], 'gamma': ['scale'], 'C': [6]}",Linear Kernel SVM,Ignored
8,0.9215830261423628,0.005869900504100311,"{'kernel': ['linear'], 'degree': [1], 'gamma': ['scale'], 'C': [7]}",Linear Kernel SVM,Ignored
9,0.9214644022639329,0.005812064082147402,"{'kernel': ['linear'], 'degree': [1], 'gamma': ['scale'], 'C': [10]}",Linear Kernel SVM,Ignored
0,0.9434875631709156,0.0048843458770918245,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['scale'], 'C': [4]}",Gaussian Kernel SVM,Ignored
1,0.9440217935253776,0.00437920788129985,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['scale'], 'C': [6]}",Gaussian Kernel SVM,Ignored
2,0.9442592879747951,0.004037840596030645,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['scale'], 'C': [8]}",Gaussian Kernel SVM,Ignored
3,0.9421815727707803,0.004912256256488447,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['scale'], 'C': [2]}",Gaussian Kernel SVM,Ignored
4,0.9440812111899745,0.004438383314692776,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['scale'], 'C': [5]}",Gaussian Kernel SVM,Ignored
5,0.9447936945382268,0.003922788114788026,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['scale'], 'C': [10]}",Gaussian Kernel SVM,Ignored
6,0.9424784848847946,0.0048000508885144184,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['scale'], 'C': [3]}",Gaussian Kernel SVM,Ignored
7,0.9441405936127772,0.004291335470808398,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['scale'], 'C': [7]}",Gaussian Kernel SVM,Ignored
8,0.9445561296052214,0.003926723089534188,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['scale'], 'C': [9]}",Gaussian Kernel SVM,Ignored
9,0.940459940652819,0.004824812871902305,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['scale'], 'C': [1]}",Gaussian Kernel SVM,Ignored
10,0.9293000627303932,0.005127444990773008,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['auto'], 'C': [9]}",Gaussian Kernel SVM,Ignored
11,0.928350331625281,0.004999991620726859,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['auto'], 'C': [7]}",Gaussian Kernel SVM,Ignored
12,0.9269252592033945,0.0056147006889030885,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['auto'], 'C': [5]}",Gaussian Kernel SVM,Ignored
13,0.9297749459038462,0.005275031273746977,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['auto'], 'C': [10]}",Gaussian Kernel SVM,Ignored
14,0.9243728370348964,0.005273542764297306,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['auto'], 'C': [3]}",Gaussian Kernel SVM,Ignored
15,0.9287065909203043,0.005071524739291335,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['auto'], 'C': [8]}",Gaussian Kernel SVM,Ignored
16,0.9277565778808404,0.005164299783954656,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['auto'], 'C': [6]}",Gaussian Kernel SVM,Ignored
17,0.9262129873059058,0.005198078736679353,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['auto'], 'C': [4]}",Gaussian Kernel SVM,Ignored
18,0.9223545394954784,0.005664669646667645,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['auto'], 'C': [2]}",Gaussian Kernel SVM,Ignored
19,0.9176054610683902,0.006867435083160522,"{'kernel': ['rbf'], 'degree': [1], 'gamma': ['auto'], 'C': [1]}",Gaussian Kernel SVM,Ignored
0,0.9145783671772028,0.00667641105890379,"{'kernel': ['sigmoid'], 'degree': [1], 'gamma': ['auto'], 'C': [8]}",Sigmoid Kernel SVM,Ignored
